Neutral Cultures .NET Framework 1.1

CULTURE    ENGLISHNAME
---------- ---------------------
af         Afrikaans
ar         Arabic
az         Azeri
be         Belarusian
bg         Bulgarian
ca         Catalan
cs         Czech
da         Danish
de         German
div        Divehi
el         Greek
en         English
es         Spanish
et         Estonian
eu         Basque
fa         Farsi
fi         Finnish
fo         Faroese
fr         French
gl         Galician
gu         Gujarati
he         Hebrew
hi         Hindi
hr         Croatian
hu         Hungarian
hy         Armenian
id         Indonesian
is         Icelandic
it         Italian
ja         Japanese
ka         Georgian
kk         Kazakh
kn         Kannada
ko         Korean
kok        Konkani
ky         Kyrgyz
lt         Lithuanian
lv         Latvian
mk         FYRO Macedonian
mn         Mongolian
mr         Marathi
ms         Malay
nl         Dutch
no         Norwegian
pa         Punjabi
pl         Polish
pt         Portuguese
ro         Romanian
ru         Russian
sa         Sanskrit
sk         Slovak
sl         Slovenian
sq         Albanian
sv         Swedish
sw         Swahili
syr        Syriac
ta         Tamil
te         Telugu
th         Thai
tr         Turkish
tt         Tatar
uk         Ukrainian
ur         Urdu
uz         Uzbek
vi         Vietnamese
zh-CHS     Chinese (Simplified)
zh-CHT     Chinese (Traditional)
